# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Elongation
2.552666613389460992e-01,-3.694118540901740189e-01,4.650091709934242590e-01,2.005966245641637169e+00,-6.453945300266561436e-01,-7.401261516268231588e-01,-7.495976155090005033e-01,-1.612567154364558775e+00,1.356351575100895879e+00
2.552666613389460992e-01,-3.694118540901740189e-01,1.395526985774036277e-01,1.907421821880326718e+00,-6.894761941530050953e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-2.119250002971424518e+00,-1.359222838609192852e-01
2.552666613389460992e-01,-3.694118540901740189e-01,-4.028747554492973504e-01,2.180888431150071749e-01,-2.486595528895155782e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-1.612567154364558775e+00,-1.559898917869308177e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,4.996443395758937700e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-1.348412971448486486e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-9.081331427285392888e-01,4.125654090057186973e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-5.419767766948104665e-02
-2.116485952246112134e-01,-1.712763074812210032e-02,-8.729785489391048703e-01,-8.518220434363619198e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,1.930119851871828496e-01
3.230183867443896517e+00,-7.216960774322259686e-01,-2.220656041070637188e-01,-3.450221498067660431e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-1.057244304771670466e-02
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-2.432403610304592623e-01
3.230183867443896517e+00,-7.216960774322259686e-01,-2.220656041070637188e-01,-9.081331427285392888e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-6.213257277524159017e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-7.110442952059186084e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-2.723238507783022344e-01
2.552666613389460992e-01,-3.694118540901740189e-01,-1.316610284359468752e-01,2.180888431150071749e-01,-2.486595528895155782e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-1.612567154364558775e+00,-1.792566835852051066e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-9.098845147847498538e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,4.759453644796873828e-02
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.578134239173816233e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-6.329591236515530461e-01
3.230183867443896517e+00,-7.216960774322259686e-01,6.819801526041046058e-01,2.180888431150071749e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-1.639247868926914764e+00
2.963375149407578402e+00,-1.778548747458381651e+00,-9.000999216404399483e-01,-4.938887852283510571e-02,-4.690678735212603367e-01,-1.364661505680226483e+00,-3.911677643811457550e-01,-5.992014571508267329e-01,5.710973519091397943e-01
2.552666613389460992e-01,-3.694118540901740189e-01,1.395526985774036277e-01,7.811998360367803373e-01,-6.894761941530050953e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-2.119250002971424518e+00,1.152767146865996351e+00
3.230183867443896517e+00,-7.216960774322259686e-01,-6.740884824626478533e-01,2.180888431150071749e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-1.581080889431229375e+00
-5.318190568681936403e-01,-1.778548747458381651e+00,-9.000999216404399483e-01,2.180888431150071749e-01,4.125654090057186973e-01,-1.364661505680226483e+00,-3.273791325329101359e-02,1.123520228112517394e+00,-1.057244304771670466e-02
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-9.925997916668052312e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-3.965593279555942874e-02
4.564227457625489315e+00,1.392009262620085508e+00,-6.740884824626478533e-01,-1.189688639189425912e+00,-1.350701156048239371e+00,-4.278584746001214967e-01,-5.345397048322876321e-01,-1.663235439225245305e+00,9.782662083789394059e-01
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.234596851623572356e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-6.873942254340240088e-02
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.071868615415561887e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-3.886578097696734013e-01
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.397325087831582602e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,8.619322493875680724e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-6.346665334587943408e-02,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-6.271424257019846404e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-7.644930581337646691e-01,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-8.627186926595113992e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-9.081331427285392888e-01,-2.825123225777081970e-02,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-1.065479592155980509e-01
2.552666613389460992e-01,-3.694118540901740189e-01,1.395526985774036277e-01,2.180888431150071749e-01,-2.486595528895155782e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-1.612567154364558775e+00,-6.001437561904948703e-02
-2.116485952246112134e-01,-1.712763074812210032e-02,-6.921693975968712387e-01,-8.518220434363619198e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-1.850733815347735400e-01
-1.172159980155358161e+00,1.392009262620085508e+00,-2.763083495097338194e-01,-9.081331427285392888e-01,-9.098845147847498538e-01,-1.364661505680226483e+00,-3.194817941555748164e-01,-9.251860854396079525e-02,-7.667431764916300407e-01
3.230183867443896517e+00,-7.216960774322259686e-01,-2.220656041070637188e-01,2.180888431150071749e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-8.539936457351586796e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.126111360818232043e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-1.325146179650212197e+00
2.552666613389460992e-01,-3.694118540901740189e-01,5.192519163960943596e-01,7.811998360367803373e-01,-6.894761941530050953e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-2.119250002971424518e+00,1.682910189015167368e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-3.595743200218306512e-01
3.230183867443896517e+00,-7.216960774322259686e-01,2.299572742485204713e-01,2.180888431150071749e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,-1.871915786909657653e+00
2.552666613389460992e-01,-3.694118540901740189e-01,1.395526985774036277e-01,1.344310828958553694e+00,-6.894761941530050953e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-2.119250002971424518e+00,1.249566191772306517e-01
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.153232733519567121e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-3.014073405261449290e-01
-2.650103388318756914e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,-1.791517797311728888e+00,5.089445564799836008e-01,-7.495976155090005033e-01,-1.916576863528678176e+00,5.710973519091397943e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-2.825123225777081970e-02,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-2.141568712826165399e-01
2.963375149407578402e+00,-1.778548747458381651e+00,-9.000999216404399483e-01,5.137221143989381122e-01,-4.690678735212603367e-01,-1.364661505680226483e+00,-3.911677643811457550e-01,-5.992014571508267329e-01,-1.057244304771670466e-02
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,2.180888431150071749e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-5.398919564584562236e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-3.450221498067660431e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-3.304908302739876791e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-8.548976338048815959e-01,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-1.810840458439187506e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-1.752799632111199157e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-1.511280514036406508e+00
