# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Ultimate_Tensile_Strength
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-1.817199618594518007e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,9.290531851195800161e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,8.797442597980906775e-01,4.125654090057186973e-01,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.013721066894912592e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-2.672678919426221267e-01,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-7.310665189390243290e-02
5.620966870807120319e-01,5.465271265991609173e-01,1.586025909315272875e+00,3.033643807723873653e+00,-9.098845147847498538e-01,5.089445564799836008e-01,5.407498485512765019e-01,1.101545308987855742e-01,-9.259431337763430747e-01
6.167924742781567549e-01,-7.216960774322259686e-01,5.011710012618709742e-01,2.470532814802099963e+00,-1.130292835416494723e+00,-1.155907975734198068e-01,1.257609550806985999e+00,2.643568773933115512e+00,1.054656078504357525e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-4.576443483911206700e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-8.625130878584335026e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-4.238576888158143152e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.229239311413941049e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,1.540823621479714634e+00,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-6.488482479661636937e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-4.238576888158143152e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.229239311413941049e+00
-1.065436492940830648e+00,-7.216960774322259686e-01,1.395526985774036277e-01,1.456933027542908210e+00,1.921570883739739388e-01,1.133479910533387036e+00,-5.703826899450731291e-01,-9.032111663149463565e-01,-5.026037248996800821e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-3.012334700330827619e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,6.685776374524257104e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,9.983269065721248614e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,2.997399370886643100e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.021418147056306402e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,9.983961674530135166e-01,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-9.086068382663211596e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-5.702665469754752969e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-9.894013449535659088e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-4.480770432848558138e-01,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.244292886003975696e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,1.321786389241682569e+00,4.125654090057186973e-01,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.052206467701882087e+00
-1.065436492940830648e+00,-7.216960774322259686e-01,1.395526985774036277e-01,-1.583866334234667050e+00,1.921570883739739388e-01,1.133479910533387036e+00,-5.703826899450731291e-01,-9.032111663149463565e-01,-4.718154042541046200e-01
5.620966870807120319e-01,5.465271265991609173e-01,2.299572742485204713e-01,1.423146367967601744e+00,-9.098845147847498538e-01,5.089445564799836008e-01,5.407498485512765019e-01,1.101545308987855742e-01,-1.457041664912520185e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,2.490071666026441033e+00,1.569555226127262948e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-8.074080992908776455e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,2.264060226848649382e+00,1.907421821880326718e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-1.231902070191749576e+00
-1.065436492940830648e+00,-7.216960774322259686e-01,1.395526985774036277e-01,4.433332402837164565e-01,1.921570883739739388e-01,1.133479910533387036e+00,-5.703826899450731291e-01,-9.032111663149463565e-01,4.903196159201293480e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,1.054666445306525341e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-3.866436159419673890e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,1.179205318795247148e+00,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-9.382913400602425069e-01
-7.719469031008804327e-01,1.392009262620085508e+00,1.134003030959688907e+00,-3.450221498067660431e-01,-4.690678735212603367e-01,-1.155907975734198068e-01,8.991796996791312502e-01,9.461812311001144282e-01,4.595312952745538859e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,6.367778647685462534e-01,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-8.181840115168288463e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-4.480770432848558138e-01,-9.081331427285392888e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-5.718774463522249274e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-7.870642792503580454e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.360089674157636930e+00
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-1.817199618594518007e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,9.290531851195800161e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.352122799996024138e+00,-1.471244135650312534e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.091281070211375326e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,1.360014470137481002e+00,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-9.624675527467180247e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,2.354464802519765865e+00,1.344310828958553694e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-6.392268977644213201e-01
