# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Yield_Strength
-5.184786209663779788e-01,-1.712763074812210032e-02,2.264060226848649382e+00,7.811998360367803373e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.222640873137172179e-01
-1.065436492940830648e+00,-7.216960774322259686e-01,1.395526985774036277e-01,-1.583866334234667050e+00,1.921570883739739388e-01,1.133479910533387036e+00,-5.703826899450731291e-01,-9.032111663149463565e-01,-1.534375350991448839e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.352122799996024138e+00,-1.471244135650312534e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-1.364754659852509322e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,-9.905044973115567641e-01,-9.081331427285392888e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-1.115452283251503751e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,2.997399370886643100e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.242905883353353724e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-2.323999512224113884e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-3.370675031429375967e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,2.751595620840788792e-01,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.964110871962191140e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,2.997399370886643100e-01,4.125654090057186973e-01,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.242905883353353724e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,1.088800743124130443e+00,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-3.773866361607060016e-01
6.167924742781567549e-01,-7.216960774322259686e-01,5.011710012618709742e-01,2.470532814802099963e+00,-1.130292835416494723e+00,-1.155907975734198068e-01,1.257609550806985999e+00,2.643568773933115512e+00,-4.312861846742174765e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-7.955109441441846618e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-7.006530592860634732e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-6.288861946270895009e-01,-1.471244135650312534e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-8.333551448021696562e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.768633162715052831e-01,-9.081331427285392888e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-5.255987501841816734e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,1.179205318795247148e+00,-3.450221498067660431e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-6.453309397848232543e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-7.870642792503580454e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.587132289863695478e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,-4.576443483911206700e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-5.672660845456649614e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,-1.479333022841454182e-01,1.294198691532697731e+00,2.382550618640193463e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.313315830139559992e+00
5.620966870807120319e-01,5.465271265991609173e-01,6.819801526041046058e-01,3.033643807723873653e+00,-1.350701156048239371e+00,5.089445564799836008e-01,5.407498485512765019e-01,1.101545308987855742e-01,-1.589138642936275936e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,8.175870161107798850e-01,1.907421821880326718e+00,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,8.354665223007051722e-02
1.229118482171508209e+00,-1.073980300774277863e+00,1.586025909315272875e+00,-1.978044029279908411e+00,-4.690678735212603367e-01,1.133479910533387036e+00,8.274937294535603671e-01,-4.978648874294535620e-01,-1.604785297777655106e+00
-1.065436492940830648e+00,-7.216960774322259686e-01,1.395526985774036277e-01,1.456933027542908210e+00,1.921570883739739388e-01,1.133479910533387036e+00,-5.703826899450731291e-01,-9.032111663149463565e-01,-7.051026443983529068e-01
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,6.685776374524257104e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.031676042994734921e+00
-5.184786209663779788e-01,-1.712763074812210032e-02,4.559687134263125663e-01,2.180888431150071749e-01,-3.809045452685624333e-01,1.133479910533387036e+00,-3.273791325329101359e-02,8.195105189483978814e-01,-2.159464886237190753e-02
5.620966870807120319e-01,5.465271265991609173e-01,1.360014470137481002e+00,8.797442597980906775e-01,1.294198691532697731e+00,1.133479910533387036e+00,-5.345397048322876321e-01,1.101545308987855742e-01,1.102085989780941189e+00
