# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Yield_Strength
-1.172159980155358161e+00,1.392009262620085508e+00,-2.763083495097338194e-01,7.811998360367803373e-01,-4.690678735212603367e-01,-1.364661505680226483e+00,-3.194817941555748164e-01,-9.251860854396079525e-02,-1.166678962219038551e+00
2.963375149407578402e+00,-1.778548747458381651e+00,-9.000999216404399483e-01,2.321666179380514894e-01,-4.690678735212603367e-01,-1.364661505680226483e+00,-3.911677643811457550e-01,-5.992014571508267329e-01,-1.629460541445650890e-01
-1.172159980155358161e+00,1.392009262620085508e+00,-2.763083495097338194e-01,2.180888431150071749e-01,-9.098845147847498538e-01,-1.364661505680226483e+00,-3.194817941555748164e-01,-9.251860854396079525e-02,3.901631944981889255e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-6.265776462676526659e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-6.358979590180700858e-02
2.552666613389460992e-01,-3.694118540901740189e-01,5.192519163960943596e-01,1.344310828958553694e+00,-6.894761941530050953e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-2.119250002971424518e+00,1.008206060732666165e+00
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-2.825123225777081970e-02,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-1.925541722025928104e+00
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.234596851623572356e+00,-5.026932278248625874e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-6.972793169776633215e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.578134239173816233e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-8.928625024949029543e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-9.081331427285392888e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,2.962832654499139018e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.415406002965805987e+00,-8.518220434363619198e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-6.645778083591813434e-01
