# Powder_Size,Laser_Spot,Laser_Power,Scanning_Speed,Hatch_Distance,Layer_Thickness,Sample_Area,Sample_Length,Ultimate_Tensile_Strength
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.216515936489348970e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,5.749874976954619799e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.487729663502699307e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-5.617307553883555543e-02
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-9.081331427285392888e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,1.054656078504357525e-01
-5.184786209663779788e-01,-1.426264524116329868e+00,-7.192907702982063167e-01,2.180888431150071749e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,5.407498485512765019e-01,2.136885925326249325e+00,7.289291009233394014e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,4.125654090057186973e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-2.365297123956997094e+00
3.230183867443896517e+00,-7.216960774322259686e-01,-6.740884824626478533e-01,2.180888431150071749e-01,-1.350701156048239371e+00,-7.401261516268231588e-01,-6.779116452834295092e-01,-9.032111663149463565e-01,2.806371036483545911e+00
2.552666613389460992e-01,-3.694118540901740189e-01,1.395526985774036277e-01,2.180888431150071749e-01,-2.486595528895155782e-01,-7.401261516268231588e-01,-7.782720035992288787e-01,-1.612567154364558775e+00,9.276677106905286685e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.578134239173816233e+00,-1.189688639189425912e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,-7.104248892573146179e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-1.133377539897248543e+00,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-2.511541647023480817e+00
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.234596851623572356e+00,-6.772576356306122536e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,5.595933373726741378e-01
-5.184786209663779788e-01,-1.712763074812210032e-02,-1.306920512160465675e+00,-9.081331427285392888e-01,-4.690678735212603367e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,1.101545308987855742e-01,3.748634134992212541e-01
-2.116485952246112134e-01,-1.712763074812210032e-02,-1.053787700281338502e+00,-8.518220434363619198e-01,-9.098845147847498538e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-1.395465023621369260e+00
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.153232733519567121e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,4.133488143061906372e-01
-2.650103388318756914e-01,1.392009262620085508e+00,5.011710012618709742e-01,7.811998360367803373e-01,-1.791517797311728888e+00,5.089445564799836008e-01,-7.495976155090005033e-01,-1.916576863528678176e+00,1.082994788347457549e+00
-5.184786209663779788e-01,-1.426264524116329868e+00,-1.397325087831582602e+00,-8.518220434363619198e-01,-3.809045452685624333e-01,-7.401261516268231588e-01,-3.194817941555748164e-01,-3.965283177080803911e-01,-1.562351176369558836e-01
